frame,timestamp_sec,hand_red_box_dist_cm,hand_yellow_box_dist_cm
0,0.0,151.31,161.53
1,0.033,148.81,158.85
2,0.067,150.83,159.43
3,0.1,149.88,160.71
4,0.133,149.88,161.3
5,0.167,149.65,158.02
6,0.2,151.26,161.0
7,0.233,151.9,158.42
8,0.267,151.67,158.08
9,0.3,151.02,159.98
10,0.333,151.42,158.89
11,0.367,148.94,158.18
12,0.4,148.52,161.68
13,0.433,149.54,158.16
14,0.467,148.2,159.43
15,0.5,150.14,161.72
16,0.533,148.93,160.08
17,0.567,149.28,159.54
18,0.6,148.17,159.21
19,0.633,149.12,161.24
20,0.667,151.68,158.47
21,0.7,150.75,158.22
22,0.733,149.62,161.38
23,0.767,150.24,159.81
24,0.8,148.61,158.26
25,0.833,151.99,160.66
26,0.867,149.71,158.21
27,0.9,150.64,160.24
28,0.933,151.03,160.8
29,0.967,150.85,161.55
30,1.0,148.16,158.55
31,1.033,151.33,159.82
32,1.067,148.46,158.16
33,1.1,151.33,161.5
34,1.133,148.59,161.36
35,1.167,148.49,161.06
36,1.2,150.59,158.9
37,1.233,149.93,158.32
38,1.267,148.01,160.53
39,1.3,151.09,161.47
40,1.333,150.62,159.65
41,1.367,150.31,161.35
42,1.4,151.15,159.31
43,1.433,148.42,158.65
44,1.467,151.31,158.14
45,1.5,151.4,160.36
46,1.533,150.28,158.86
47,1.567,150.65,158.57
48,1.6,150.15,161.06
49,1.633,151.15,160.64
50,1.667,150.05,158.91
51,1.7,150.05,160.74
52,1.733,151.75,161.95
53,1.767,149.67,159.05
54,1.8,148.64,158.06
55,1.833,148.09,161.27
56,1.867,150.07,158.14
57,1.9,151.81,159.59
58,1.933,149.77,160.03
59,1.967,150.19,161.29
60,2.0,149.64,161.9
61,2.033,151.18,158.58
62,2.067,150.08,158.51
63,2.1,149.83,158.87
64,2.133,150.4,160.66
65,2.167,149.86,158.17
66,2.2,149.1,159.51
67,2.233,148.71,160.79
68,2.267,149.37,161.36
69,2.3,148.21,160.37
70,2.333,149.31,158.4
71,2.367,150.18,161.55
72,2.4,150.18,159.71
73,2.433,151.0,160.16
74,2.467,150.91,161.57
75,2.5,148.76,160.82
76,2.533,148.54,159.37
77,2.567,151.66,161.16
78,2.6,148.88,159.24
79,2.633,150.29,160.13
80,2.667,151.53,161.31
81,2.7,150.4,161.7
82,2.733,149.65,159.14
83,2.767,151.93,158.14
84,2.8,149.75,159.2
85,2.833,150.71,158.19
86,2.867,148.68,161.5
87,2.9,151.28,158.09
88,2.933,151.98,161.11
89,2.967,149.6,159.42
90,3.0,149.59,161.69
91,3.033,151.64,161.24
92,3.067,148.7,158.52
93,3.1,149.12,160.51
94,3.133,151.13,161.51
95,3.167,149.14,159.9
96,3.2,150.87,159.52
97,3.233,148.86,160.0
98,3.267,150.11,159.74
99,3.3,150.74,161.8
100,3.333,151.77,161.53
101,3.367,148.31,159.56
102,3.4,148.9,159.71
103,3.433,149.01,161.44
104,3.467,149.83,158.86
105,3.5,149.84,161.88
106,3.533,149.84,159.01
107,3.567,151.59,158.2
108,3.6,149.68,159.58
109,3.633,151.87,159.45
110,3.667,151.42,161.26
111,3.7,150.71,159.63
112,3.733,149.11,158.0
113,3.767,148.04,158.59
114,3.8,150.36,161.64
115,3.833,150.35,159.25
116,3.867,151.27,158.81
117,3.9,151.4,160.47
118,3.933,148.31,160.4
119,3.967,149.49,159.04
120,4.0,151.22,158.29
121,4.033,149.93,159.42
122,4.067,151.25,160.76
123,4.1,148.73,161.28
124,4.133,150.03,159.3
125,4.167,148.73,158.06
126,4.2,151.33,158.73
127,4.233,149.4,158.04
128,4.267,149.41,159.88
129,4.3,150.32,160.89
130,4.333,149.36,159.49
131,4.367,149.43,158.73
132,4.4,148.06,160.44
133,4.433,148.43,161.03
134,4.467,148.97,159.19
135,4.5,151.95,158.48
136,4.533,148.83,158.84
137,4.567,149.76,158.49
138,4.6,148.45,159.65
139,4.633,148.56,158.37
140,4.667,150.0,161.84
141,4.7,150.9,161.09
142,4.733,150.92,160.44
143,4.767,151.8,161.72
144,4.8,149.6,159.71
145,4.833,151.11,160.4
146,4.867,148.4,160.55
147,4.9,151.9,158.6
148,4.933,151.49,158.34
149,4.967,149.63,159.5
150,5.0,149.77,158.89
151,5.033,149.99,158.98
152,5.067,147.98,157.72
153,5.1,147.29,159.64
154,5.133,146.06,159.74
155,5.167,145.03,158.4
156,5.2,144.86,157.88
157,5.233,143.7,158.16
158,5.267,142.14,154.88
159,5.3,140.18,157.33
160,5.333,141.76,155.77
161,5.367,140.18,157.0
162,5.4,138.2,154.5
163,5.433,137.29,154.21
164,5.467,137.5,152.95
165,5.5,136.02,153.28
166,5.533,134.18,153.26
167,5.567,133.53,154.84
168,5.6,133.26,153.13
169,5.633,131.41,152.22
170,5.667,130.2,153.4
171,5.7,129.8,149.93
172,5.733,128.46,152.79
173,5.767,129.28,151.59
174,5.8,126.39,152.23
175,5.833,125.19,151.91
176,5.867,126.34,147.64
177,5.9,123.49,147.99
178,5.933,124.92,147.13
179,5.967,123.6,150.15
180,6.0,121.74,147.0
181,6.033,122.11,147.55
182,6.067,121.62,145.27
183,6.1,120.6,146.56
184,6.133,117.2,148.21
185,6.167,117.86,145.01
186,6.2,116.3,145.47
187,6.233,114.23,144.51
188,6.267,114.42,144.2
189,6.3,112.37,143.65
190,6.333,112.72,145.78
191,6.367,112.31,142.24
192,6.4,111.38,143.33
193,6.433,110.76,143.02
194,6.467,109.07,143.77
195,6.5,107.88,143.65
196,6.533,105.84,140.52
197,6.567,105.21,139.21
